가구원수,취업인원수,가구주_연령,비동거취업미혼자녀수,비동거학업미혼자녀수,비동거기타미혼자녀수,자동차보유대수,월세평가금액,전세보증금,월세사글세,주거용전용면적,주택소유유무,가계지출금액,가계지출_소비지출금액
1,0,39,0,0,0,1,500,10000,500,23,2,1668061,1296245
1,0,39,0,0,2,1,430,5000,430,50,2,1632442,1571808
1,0,40,0,0,0,0,110,18000,50,29,2,825673,767736
1,0,40,0,0,0,0,1200,0,0,85,2,2671214,2671214
1,0,40,0,0,0,0,200,0,200,33,2,781458,765628
1,0,40,0,0,0,0,790,140000,200,40,2,820388,755596
1,0,40,0,0,0,1,400,30000,50,30,1,1057466,755407
1,0,41,0,0,0,0,160,35000,150,33,2,1046333,1033469
1,0,41,0,0,0,0,340,2000,320,25,2,638560,627950
1,0,41,0,0,0,0,800,0,0,43,1,950931,793163
1,0,41,0,0,2,1,360,5000,360,42,2,1610874,1576368
1,0,42,0,0,0,1,392,5000,370,40,2,2427554,2250306
1,0,42,0,1,0,0,1400,0,0,60,1,1569073,1472073
1,0,43,0,0,0,0,172,43000,0,38,2,1410607,1347223
1,0,43,0,0,0,0,250,20000,0,36,2,274697,255422
1,0,43,0,0,0,0,267,2000,250,58,2,1415860,1399015
1,0,43,0,0,0,1,300,0,300,49,2,850508,831648
1,0,43,0,1,0,0,400,3000,350,36,2,2275942,2023685
1,0,44,0,0,0,0,1100,0,0,74,1,1584371,1557801
1,0,44,0,0,0,0,500,3500,128,50,2,1186932,1176432
1,0,44,0,0,0,1,410,500,300,33,2,1515620,1201460
1,0,45,0,0,0,0,239,2000,230,20,2,1259098,1055260
1,0,45,0,0,0,0,250,2969,59,31,2,910606,906428
1,0,45,0,0,0,0,571,0,0,56,2,955236,913436
1,0,45,0,0,0,0,900,0,0,59,1,728819,524517
1,0,45,0,0,1,1,300,0,0,66,2,1163990,763670
1,0,45,0,0,1,1,591,5000,583,84,2,4503004,4346004
1,0,45,0,1,0,0,293,1000,290,43,2,1194406,694406
1,0,45,0,1,0,0,510,60000,0,52,2,1003639,798639
1,0,45,1,0,0,0,200,0,200,45,2,1049186,969186
1,0,46,0,0,0,0,150,49390,0,69,2,1330644,1308260
1,0,46,0,0,0,0,300,65000,0,60,2,479891,323201
1,0,46,0,0,0,0,90,30000,0,22,2,970423,683738
1,0,46,0,0,0,1,160,20000,0,23,2,832847,814934
1,0,46,0,0,0,1,400,0,0,26.4,1,855250,702250
1,0,46,0,0,0,1,400,0,0,51,1,734112,584289
1,0,46,0,0,0,1,96,2800,90,40,2,1988651,1481379
1,0,46,0,0,1,1,360,2000,358,29,2,1348283,857360
1,0,46,1,0,0,0,271,3000,250,10,2,671423,671423
1,0,47,0,0,0,1,100,30000,50,56,2,5657578,5346548
1,0,47,0,0,0,1,118,5000,100,83,2,913560,844360
1,0,47,0,0,0,1,800,230000,0,84,2,2282267,1158377
1,0,47,1,0,0,1,100,0,0,56,2,614270,603770
1,0,48,0,0,0,0,350,42000,100,36,2,1910851,1791467
1,0,48,0,0,0,0,450,120000,0,66,2,883957,837455
1,0,48,0,0,0,1,327,1000,320,42,2,1668023,1592403
1,0,48,0,0,0,1,405,10000,400,34,2,1189272,971130
1,0,48,0,0,0,1,500,0,0,48,1,1200717,907357
1,0,48,0,0,1,1,250,0,0,125,1,4952440,3622590
1,0,49,0,0,0,0,230,0,0,56,2,942642,934309
1,0,49,0,0,0,0,300,0,0,10,2,779950,723872
1,0,49,0,0,0,0,330,0,0,43,1,693679,446013
1,0,49,0,0,0,0,350,70000,0,34,2,980079,886229
1,0,49,0,0,0,1,280,0,0,66,1,736278,670723
1,0,49,0,0,0,1,300,2000,290,23,2,1247565,868007
1,0,49,2,0,0,0,400,55000,0,85,1,1260877,889190
1,0,50,0,0,0,0,260,2888,59,31,2,878661,855661
1,0,50,0,0,0,0,300,2000,250,23,2,897471,871471
1,0,50,0,0,0,0,300,5000,300,51,2,1343620,1179875
1,0,50,0,0,0,0,319,3000,300,25,2,1000080,993413
1,0,50,0,0,0,0,350,500,173,46,2,2029935,1862435
1,0,50,0,0,0,0,520,3000,400,24,2,1072858,1016968
1,0,50,0,0,0,1,210,0,0,46,1,1940671,1645099
1,0,50,0,0,0,1,400,50000,0,25,2,2891332,2513937
1,0,50,0,0,1,1,460,5000,450,41,2,4171392,3900682
1,0,50,0,0,2,0,400,40000,0,17,1,783741,663971
1,0,50,1,0,0,0,300,0,0,73,1,1514073,1173846
1,0,50,1,0,0,0,300,1000,250,27,2,596370,585370
1,0,50,1,0,0,0,300,20000,190,60,2,1084036,1038130
1,0,51,0,0,0,0,180,10000,150,42,2,857694,841664
1,0,51,0,0,0,0,230,70000,0,33,2,438482,332482
1,0,51,0,0,0,0,300,0,0,12,2,676057,632723
1,0,51,0,0,0,0,304,1000,300,33,2,1114663,973383
1,0,51,0,0,0,0,450,0,0,60,1,694149,694149
1,0,51,0,0,0,0,600,0,0,60,1,1101558,700865
1,0,51,0,0,0,1,700,0,0,79,1,3321279,3222878
1,0,51,0,0,0,1,900,0,0,84,1,2557891,1920791
1,0,51,0,0,3,0,248,2000,240,30,2,1064839,1014839
1,0,51,0,1,0,0,300,5000,250,42,2,1349948,954038
1,0,51,1,0,0,0,300,0,0,57,2,990975,990975
1,0,51,1,1,0,0,250,3000,250,43,2,3531373,2660880
1,0,51,1,2,0,0,143,3621,113,48,2,885275,735275
1,0,51,2,0,0,0,500,0,0,80,1,2892226,1617369
1,0,52,0,0,0,0,250,17687,122,59,2,976679,939179
1,0,52,0,0,0,0,500,55000,0,60,2,857230,749738
1,0,52,0,0,0,1,230,1000,230,22,2,807308,648847
1,0,52,0,0,0,1,280,5000,250,66,2,1302612,1287202
1,0,52,0,0,1,1,375,1000,370,31,2,1618090,1548850
1,0,52,0,0,3,0,320,0,320,20,2,907000,887000
1,0,52,0,1,1,0,600,0,0,59,1,3711480,2504280
1,0,52,2,0,0,0,150,1200,107,36,2,578505,578505
1,0,53,0,0,0,0,108,3000,93,40,2,880350,880350
1,0,53,0,0,0,0,130,0,100,25,2,331167,316467
1,0,53,0,0,0,0,229,25200,67,36,2,651204,572904
1,0,53,0,0,0,0,300,5000,250,23,2,1359423,1359423
1,0,53,0,0,0,0,350,60000,0,36,2,779161,650141
1,0,53,0,0,0,0,400,60000,0,43,2,947245,866878
1,0,53,0,0,0,1,200,0,0,85,1,3884620,2600862
1,0,53,0,0,0,1,500,0,0,85,1,2025356,1705481
1,0,53,1,0,0,1,206,2000,200,40,2,1608684,883684
1,0,53,2,0,0,0,900,0,0,73,1,2152020,1992020
1,0,53,2,0,0,1,270,1000,250,50,2,2423466,2286033
1,0,54,0,0,0,0,220,0,0,45,1,937192,931322
1,0,54,0,0,0,0,250,0,0,40,2,878105,775605
1,0,54,0,0,0,0,260,2000,250,59,2,1078336,1033518
1,0,54,0,0,0,0,490,5000,250,21,2,1943653,1923653
1,0,54,0,0,0,0,500,10000,500,48,2,1046965,1033965
1,0,54,0,0,0,0,510,5000,500,30,2,1250603,1134303
1,0,54,0,0,0,1,800,0,0,67,1,1699855,1664752
1,0,54,0,0,1,1,109,25000,0,25,2,603672,531007
1,0,54,0,1,0,1,400,0,0,67,1,1429931,1110009
1,0,54,1,0,0,1,300,0,0,50,2,1032108,945996
1,0,54,1,0,0,1,521,180000,0,84,2,5250424,3605777
1,0,54,1,1,0,0,352,0,0,82,1,3141393,1371948
1,0,54,2,0,0,0,292,500,292,64,2,753747,753747
1,0,55,0,0,0,0,186,20000,90,29,2,1446611,1312768
1,0,55,0,0,0,0,230,60000,0,33,1,3230798,942218
